epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6957,1.01425,3.08265,1.20694,0.01909,1,0.26114,0.17829,0.85551,2.8367,1.06062,6e-05,6e-05,6e-05
2,31.1685,0.82716,2.67045,1.05974,0.01909,1,0.31929,0.19736,0.97607,2.71237,1.07545,0.000137228,0.000137228,0.000137228
3,43.4897,0.84583,1.80862,1.00868,0.63538,0.38095,0.54779,0.35116,1.01892,2.13736,1.04973,0.000211288,0.000211288,0.000211288
4,56.031,0.79461,1.12388,0.96717,0.76217,0.8648,0.85535,0.54553,1.02846,1.28431,0.97045,0.00028218,0.00028218,0.00028218
5,69.4395,0.77183,0.96644,0.97507,0.88335,0.84143,0.9249,0.6441,0.92679,1.07218,0.92442,0.000349904,0.000349904,0.000349904
6,85.089,0.7641,0.83755,0.96753,0.92275,0.75847,0.9196,0.71838,0.75818,1.01692,0.857,0.00041446,0.00041446,0.00041446
7,99.3399,0.75047,0.86373,0.97747,0.93205,0.96825,0.97268,0.78564,0.69633,0.93892,0.87515,0.000475848,0.000475848,0.000475848
8,113.941,0.72442,0.77604,0.96263,0.9686,0.97937,0.98828,0.76976,0.76769,0.90357,0.89559,0.000534068,0.000534068,0.000534068
9,128.189,0.69834,0.90756,0.92739,1,0.93478,0.97753,0.8177,0.61615,1.01924,0.86624,0.00058912,0.00058912,0.00058912
10,140.246,0.72421,0.73313,0.94271,0.98321,0.92939,0.97313,0.78233,0.75145,1.0797,0.92323,0.000641004,0.000641004,0.000641004
11,152.753,0.72648,0.70112,0.9528,0.96674,0.92287,0.98123,0.81046,0.64837,0.9311,0.89021,0.00068972,0.00068972,0.00068972
12,166.828,0.59925,0.67491,0.94094,0.92385,0.95238,0.98564,0.82594,0.59245,0.88194,0.88071,0.000735268,0.000735268,0.000735268
13,182.069,0.64359,0.77593,0.94974,0.91025,0.96599,0.97894,0.82307,0.61349,0.94003,0.90821,0.000777648,0.000777648,0.000777648
14,198.374,0.67129,0.73698,0.94949,0.88157,0.94534,0.96512,0.81006,0.57823,0.97809,0.8973,0.00081686,0.00081686,0.00081686
15,212.589,0.61548,0.64784,0.92273,0.9545,0.99896,0.99315,0.81522,0.63504,0.90026,0.90964,0.000852904,0.000852904,0.000852904
16,225.509,0.67897,0.66501,0.95683,0.99056,0.98413,0.99469,0.83406,0.60524,0.85335,0.90342,0.00088578,0.00088578,0.00088578
17,238.573,0.66734,0.68813,0.94096,0.9897,0.96825,0.99408,0.84674,0.57759,0.83893,0.90403,0.000915488,0.000915488,0.000915488
18,251.866,0.68227,0.8657,0.95047,0.97562,0.95238,0.99078,0.82735,0.61717,1.00365,0.93373,0.000942028,0.000942028,0.000942028
19,264.763,0.67399,0.66159,0.92857,0.97634,0.95238,0.98813,0.80905,0.67618,1.18757,0.95955,0.0009654,0.0009654,0.0009654
20,277.824,0.6143,0.64723,0.93432,0.98296,0.91555,0.98338,0.81557,0.63934,1.31292,0.95285,0.000985604,0.000985604,0.000985604
21,291.223,0.71501,0.65996,0.9425,0.98337,0.93835,0.98342,0.82098,0.65331,1.14785,0.9473,0.00100264,0.00100264,0.00100264
22,304.586,0.60588,0.60672,0.89502,0.98408,0.98145,0.99272,0.8197,0.68441,0.89488,0.97043,0.00101651,0.00101651,0.00101651
23,317.593,0.58616,0.58293,0.90531,0.97967,0.98413,0.99423,0.84306,0.61079,0.73167,0.94076,0.00102721,0.00102721,0.00102721
24,330.973,0.58323,0.60474,0.92732,1,0.96589,0.99351,0.86464,0.52872,0.64811,0.90117,0.00103474,0.00103474,0.00103474
25,345.022,0.64456,0.61659,0.91888,1,0.96742,0.99254,0.86639,0.53006,0.61285,0.90207,0.0010391,0.0010391,0.0010391
26,358.468,0.57919,0.56412,0.88527,0.99789,0.98413,0.99455,0.86995,0.51952,0.55622,0.91235,0.00101,0.00101,0.00101
27,372.381,0.54921,0.55303,0.89389,1,0.9982,0.995,0.87396,0.51009,0.54716,0.89591,0.0009704,0.0009704,0.0009704
28,386.068,0.59542,0.60571,0.92468,1,0.99864,0.995,0.90163,0.47225,0.53247,0.88165,0.0009308,0.0009308,0.0009308
29,399.828,0.51092,0.53619,0.87917,0.99636,1,0.995,0.88042,0.47978,0.5319,0.8718,0.0008912,0.0008912,0.0008912
30,413.342,0.55564,0.57776,0.92445,0.99763,1,0.995,0.88827,0.47009,0.51408,0.8612,0.0008516,0.0008516,0.0008516
31,427.053,0.51528,0.50223,0.88402,0.99797,1,0.995,0.90964,0.45561,0.49465,0.86201,0.000812,0.000812,0.000812
32,440.375,0.52815,0.52439,0.89254,0.99877,1,0.995,0.89403,0.47352,0.49637,0.86748,0.0007724,0.0007724,0.0007724
33,454.079,0.55228,0.51524,0.90228,0.99857,1,0.995,0.89279,0.47376,0.484,0.86795,0.0007328,0.0007328,0.0007328
34,467.951,0.50647,0.50403,0.91222,0.99891,1,0.995,0.89088,0.45523,0.48133,0.86472,0.0006932,0.0006932,0.0006932
35,481.719,0.47306,0.60576,0.8804,0.99989,1,0.995,0.89688,0.45472,0.46581,0.86878,0.0006536,0.0006536,0.0006536
36,495.317,0.5335,0.48438,0.89514,0.99917,1,0.995,0.90123,0.45782,0.46251,0.87135,0.000614,0.000614,0.000614
37,509.187,0.51765,0.50092,0.90809,0.99889,1,0.995,0.90547,0.42817,0.45588,0.86596,0.0005744,0.0005744,0.0005744
38,522.635,0.4759,0.48042,0.89284,0.99893,1,0.995,0.91925,0.41933,0.45178,0.86135,0.0005348,0.0005348,0.0005348
39,535.837,0.49888,0.47188,0.9083,0.99894,1,0.995,0.92034,0.41617,0.44246,0.85998,0.0004952,0.0004952,0.0004952
40,549.558,0.47726,0.44778,0.87351,0.99901,1,0.995,0.91318,0.41182,0.42929,0.8588,0.0004556,0.0004556,0.0004556
41,562.629,0.4076,0.5487,0.83725,0.99897,1,0.995,0.91842,0.42537,0.42547,0.87046,0.000416,0.000416,0.000416
42,576.187,0.40643,0.63338,0.85115,0.9989,1,0.995,0.91172,0.43351,0.42983,0.8802,0.0003764,0.0003764,0.0003764
43,589.662,0.43963,0.50616,0.84996,0.99879,1,0.995,0.93155,0.41448,0.43531,0.87624,0.0003368,0.0003368,0.0003368
44,602.801,0.38014,0.48919,0.84658,0.99864,1,0.995,0.93989,0.39182,0.44133,0.8657,0.0002972,0.0002972,0.0002972
45,616.073,0.3989,0.47519,0.83779,0.99864,1,0.995,0.93924,0.39216,0.44885,0.86877,0.0002576,0.0002576,0.0002576
46,629.162,0.40156,0.4856,0.82911,0.99865,1,0.995,0.94133,0.39343,0.45143,0.87605,0.000218,0.000218,0.000218
47,642.28,0.3801,0.49806,0.84197,0.99876,1,0.995,0.94475,0.38618,0.44889,0.87892,0.0001784,0.0001784,0.0001784
48,655.5,0.36375,0.45836,0.82727,0.99883,1,0.995,0.94573,0.37417,0.43933,0.87187,0.0001388,0.0001388,0.0001388
49,668.646,0.36082,0.44328,0.82309,0.99884,1,0.995,0.94674,0.36378,0.42529,0.86252,9.92e-05,9.92e-05,9.92e-05
50,682.358,0.419,0.46879,0.87658,0.99884,1,0.995,0.94783,0.35549,0.41537,0.85392,5.96e-05,5.96e-05,5.96e-05
