epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.03,1.07365,3.04981,1.21264,0.02208,1,0.27742,0.20184,0.60614,2.82537,0.94245,6e-05,6e-05,6e-05
2,34.6374,0.91908,2.70145,1.10603,0.02208,1,0.46656,0.33963,0.64802,2.63625,0.89967,0.000137228,0.000137228,0.000137228
3,50.4331,0.8846,1.80448,1.03526,1,0.55824,0.82194,0.65853,0.70556,2.02054,0.84166,0.000211288,0.000211288,0.000211288
4,66.1083,0.80121,1.07018,0.97769,0.95821,0.86525,0.9634,0.7245,0.80246,1.25311,0.83993,0.00028218,0.00028218,0.00028218
